항목,종류,월,구분,주차,값
processing_cost,목표,4,주차,W16,-259.1497720903693
processing_cost,목표,4,주차,W17,-259.1497720903693
processing_cost,목표,4,주차,W18,-259.1497720903693
processing_cost,목표,5,월계,,0.0
processing_cost,목표,5,주차,W18,0.0
processing_cost,목표,5,주차,W19,0.0
processing_cost,목표,5,주차,W20,0.0
processing_cost,목표,5,주차,W21,0.0
processing_cost,목표,5,주차,W22,0.0
processing_cost,목표,5,주차,W23,0.0
processing_cost,목표,6,월계,,0.0
processing_cost,목표,6,주차,W23,0.0
processing_cost,목표,6,주차,W24,0.0
processing_cost,목표,6,주차,W25,0.0
processing_cost,목표,6,주차,W26,0.0
processing_cost,목표,6,주차,W27,0.0
processing_cost,목표,7,월계,,0.0
processing_cost,목표,7,주차,W27,0.0
processing_cost,목표,7,주차,W28,0.0
processing_cost,목표,7,주차,W29,0.0
processing_cost,목표,7,주차,W30,0.0
processing_cost,목표,7,주차,W31,0.0
processing_cost,목표,8,월계,,0.0
processing_cost,목표,8,주차,W31,0.0
processing_cost,목표,8,주차,W32,0.0
processing_cost,목표,8,주차,W33,0.0
processing_cost,목표,8,주차,W34,0.0
processing_cost,목표,8,주차,W35,0.0
processing_cost,목표,8,주차,W36,0.0
processing_cost,목표,9,월계,,0.0
processing_cost,목표,9,주차,W36,0.0
processing_cost,목표,9,주차,W37,0.0
processing_cost,목표,9,주차,W38,0.0
processing_cost,목표,9,주차,W39,0.0
processing_cost,목표,9,주차,W40,0.0
processing_cost,목표,10,월계,,0.0
processing_cost,목표,10,주차,W40,0.0
processing_cost,목표,10,주차,W41,0.0
processing_cost,목표,10,주차,W42,0.0
processing_cost,목표,10,주차,W43,0.0
processing_cost,목표,10,주차,W44,0.0
processing_cost,목표,11,월계,,0.0
processing_cost,목표,11,주차,W45,0.0
processing_cost,목표,11,주차,W46,0.0
processing_cost,목표,11,주차,W47,0.0
processing_cost,목표,11,주차,W48,0.0
processing_cost,목표,12,월계,,0.0
processing_cost,목표,12,주차,W49,0.0
processing_cost,목표,12,주차,W50,0.0
processing_cost,목표,12,주차,W51,0.0
processing_cost,목표,12,주차,W52,0.0
processing_cost,목표,12,주차,W53,0.0
processing_cost,실적,1,월계,,-135.83791261033605
processing_cost,실적,1,주차,W1,20.113948071923033
processing_cost,실적,1,주차,W2,-56.35117911089683
processing_cost,실적,1,주차,W3,-71.03387439472499
processing_cost,실적,1,주차,W4,-56.81710047242616
processing_cost,실적,1,주차,W5,-61.69950718000671
processing_cost,실적,2,월계,,22.92459151186263
processing_cost,실적,2,주차,W6,-47.583134195737955
processing_cost,실적,2,주차,W7,-65.2828437979088
processing_cost,실적,2,주차,W8,-26.451970448577597
processing_cost,실적,2,주차,W9,63.55729558342308
processing_cost,실적,3,월계,,228.14028363325988
processing_cost,실적,3,주차,W10,328.48080084999697
processing_cost,실적,3,주차,W11,304.8760434749877
processing_cost,실적,3,주차,W12,261.6110983705714
processing_cost,실적,3,주차,W13,254.21508728507484
processing_cost,실적,3,주차,W14,303.3107039390786
processing_cost,실적,4,월계,,-380.1789784282388
processing_cost,실적,4,주차,W14,-112.50043831463522
processing_cost,실적,4,주차,W15,-280.7502601245021
processing_cost,실적,4,주차,W16,-142.5694247587818
processing_cost,실적,4,주차,W17,0.0
processing_cost,실적,4,주차,W18,0.0
processing_cost,실적,5,주차,W18,0.0
processing_cost,실적,5,주차,W19,0.0
processing_cost,실적,5,주차,W20,0.0
processing_cost,실적,5,주차,W21,0.0
processing_cost,실적,5,주차,W22,0.0
processing_cost,실적,5,주차,W23,0.0
processing_cost,실적,6,주차,W23,0.0
processing_cost,실적,6,주차,W24,0.0
processing_cost,실적,6,주차,W25,0.0
processing_cost,실적,6,주차,W26,0.0
processing_cost,실적,6,주차,W27,0.0
processing_cost,실적,7,주차,W27,0.0
processing_cost,실적,7,주차,W28,0.0
processing_cost,실적,7,주차,W29,0.0
processing_cost,실적,7,주차,W30,0.0
processing_cost,실적,7,주차,W31,0.0
processing_cost,실적,8,주차,W31,0.0
processing_cost,실적,8,주차,W32,0.0
processing_cost,실적,8,주차,W33,0.0
processing_cost,실적,8,주차,W34,0.0
processing_cost,실적,8,주차,W35,0.0
processing_cost,실적,8,주차,W36,0.0
processing_cost,실적,9,주차,W36,0.0
processing_cost,실적,9,주차,W37,0.0
processing_cost,실적,9,주차,W38,0.0
processing_cost,실적,9,주차,W39,0.0
processing_cost,실적,9,주차,W40,0.0
processing_cost,실적,10,주차,W40,0.0
processing_cost,실적,10,주차,W41,0.0
processing_cost,실적,10,주차,W42,0.0
processing_cost,실적,10,주차,W43,0.0
processing_cost,실적,10,주차,W44,0.0
processing_cost,실적,11,주차,W45,0.0
processing_cost,실적,11,주차,W46,0.0
processing_cost,실적,11,주차,W47,0.0
processing_cost,실적,11,주차,W48,0.0
processing_cost,실적,12,주차,W49,0.0
processing_cost,실적,12,주차,W50,0.0
processing_cost,실적,12,주차,W51,0.0
processing_cost,실적,12,주차,W52,0.0
processing_cost,실적,12,주차,W53,0.0
logistics_cost,목표,1,월계,,-440.9952959582918
logistics_cost,목표,1,주차,W1,-440.9952959582918
logistics_cost,목표,1,주차,W2,-440.9952959582918
logistics_cost,목표,1,주차,W3,-440.9952959582918
logistics_cost,목표,1,주차,W4,-440.9952959582918
logistics_cost,목표,1,주차,W5,-440.9952959582918
logistics_cost,목표,2,월계,,657.2543454498062
logistics_cost,목표,2,주차,W6,657.2543454498062
logistics_cost,목표,2,주차,W7,657.2543454498062
logistics_cost,목표,2,주차,W8,657.2543454498062
logistics_cost,목표,2,주차,W9,657.2543454498062
logistics_cost,목표,3,월계,,528.261531983449
logistics_cost,목표,3,주차,W10,528.261531983449
logistics_cost,목표,3,주차,W11,528.261531983449
logistics_cost,목표,3,주차,W12,528.261531983449
logistics_cost,목표,3,주차,W13,528.261531983449
logistics_cost,목표,3,주차,W14,528.261531983449
logistics_cost,목표,4,월계,,2327.863233450791
logistics_cost,목표,4,주차,W14,2327.863233450791
logistics_cost,목표,4,주차,W15,2327.863233450791
logistics_cost,목표,4,주차,W16,2327.863233450791
logistics_cost,목표,4,주차,W17,2327.863233450791
logistics_cost,목표,4,주차,W18,2327.863233450791
logistics_cost,목표,5,월계,,0.0
logistics_cost,목표,5,주차,W18,0.0
logistics_cost,목표,5,주차,W19,0.0
logistics_cost,목표,5,주차,W20,0.0
logistics_cost,목표,5,주차,W21,0.0
logistics_cost,목표,5,주차,W22,0.0
logistics_cost,목표,5,주차,W23,0.0
logistics_cost,목표,6,월계,,0.0
logistics_cost,목표,6,주차,W23,0.0
logistics_cost,목표,6,주차,W24,0.0
logistics_cost,목표,6,주차,W25,0.0
logistics_cost,목표,6,주차,W26,0.0
logistics_cost,목표,6,주차,W27,0.0
logistics_cost,목표,7,월계,,0.0
logistics_cost,목표,7,주차,W27,0.0
logistics_cost,목표,7,주차,W28,0.0
logistics_cost,목표,7,주차,W29,0.0
logistics_cost,목표,7,주차,W30,0.0
logistics_cost,목표,7,주차,W31,0.0
logistics_cost,목표,8,월계,,0.0
logistics_cost,목표,8,주차,W31,0.0
logistics_cost,목표,8,주차,W32,0.0
logistics_cost,목표,8,주차,W33,0.0
logistics_cost,목표,8,주차,W34,0.0
logistics_cost,목표,8,주차,W35,0.0
logistics_cost,목표,8,주차,W36,0.0
logistics_cost,목표,9,월계,,0.0
logistics_cost,목표,9,주차,W36,0.0
logistics_cost,목표,9,주차,W37,0.0
logistics_cost,목표,9,주차,W38,0.0
logistics_cost,목표,9,주차,W39,0.0
logistics_cost,목표,9,주차,W40,0.0
logistics_cost,목표,10,월계,,0.0
logistics_cost,목표,10,주차,W40,0.0
logistics_cost,목표,10,주차,W41,0.0
logistics_cost,목표,10,주차,W42,0.0
logistics_cost,목표,10,주차,W43,0.0
logistics_cost,목표,10,주차,W44,0.0
logistics_cost,목표,11,월계,,0.0
logistics_cost,목표,11,주차,W45,0.0
logistics_cost,목표,11,주차,W46,0.0
logistics_cost,목표,11,주차,W47,0.0
logistics_cost,목표,11,주차,W48,0.0
logistics_cost,목표,11,주차,W49,0.0
logistics_cost,목표,12,월계,,0.0
logistics_cost,목표,12,주차,W49,0.0
logistics_cost,목표,12,주차,W50,0.0
logistics_cost,목표,12,주차,W51,0.0
logistics_cost,목표,12,주차,W52,0.0
logistics_cost,목표,12,주차,W53,0.0
logistics_cost,실적,1,월계,,-53.20575509194281
logistics_cost,실적,1,주차,W1,-72.17782029849131
logistics_cost,실적,1,주차,W2,-72.17782029849131
logistics_cost,실적,1,주차,W3,-72.44448515103592
logistics_cost,실적,1,주차,W4,-72.44448515103592
logistics_cost,실적,1,주차,W5,-71.83593708610921
logistics_cost,실적,2,월계,,1266.6222677616809
logistics_cost,실적,2,주차,W6,640.0687627554518
logistics_cost,실적,2,주차,W7,731.2192115947997
logistics_cost,실적,2,주차,W8,327.17050706725234
logistics_cost,실적,2,주차,W9,978.2295694984622
logistics_cost,실적,3,월계,,19.023725416715035
logistics_cost,실적,3,주차,W10,-559.4144761742976
logistics_cost,실적,3,주차,W11,-559.4144761742976
logistics_cost,실적,3,주차,W12,-563.2992989255081
logistics_cost,실적,3,주차,W13,329.6922892488534
logistics_cost,실적,3,주차,W14,-567.1841216767184
logistics_cost,실적,4,월계,,1406.968790268411
logistics_cost,실적,4,주차,W14,694.5624938714047
logistics_cost,실적,4,주차,W15,674.49095002488
logistics_cost,실적,4,주차,W16,674.49095002488
logistics_cost,실적,4,주차,W17,679.1749149556083
logistics_cost,실적,4,주차,W18,1739.413218247034
logistics_cost,실적,5,주차,W18,0.0
logistics_cost,실적,5,주차,W19,0.0
logistics_cost,실적,5,주차,W20,0.0
logistics_cost,실적,5,주차,W21,0.0
logistics_cost,실적,5,주차,W22,0.0
logistics_cost,실적,5,주차,W23,0.0
logistics_cost,실적,6,주차,W23,0.0
logistics_cost,실적,6,주차,W24,0.0
logistics_cost,실적,6,주차,W25,0.0
logistics_cost,실적,6,주차,W26,0.0
logistics_cost,실적,6,주차,W27,0.0
logistics_cost,실적,7,주차,W27,0.0
logistics_cost,실적,7,주차,W28,0.0
logistics_cost,실적,7,주차,W29,0.0
logistics_cost,실적,7,주차,W30,0.0
logistics_cost,실적,7,주차,W31,0.0
logistics_cost,실적,8,주차,W31,0.0
logistics_cost,실적,8,주차,W32,0.0
logistics_cost,실적,8,주차,W33,0.0
logistics_cost,실적,8,주차,W34,0.0
logistics_cost,실적,8,주차,W35,0.0
logistics_cost,실적,8,주차,W36,0.0
logistics_cost,실적,9,주차,W36,0.0
logistics_cost,실적,9,주차,W37,0.0
logistics_cost,실적,9,주차,W38,0.0
logistics_cost,실적,9,주차,W39,0.0
logistics_cost,실적,9,주차,W40,0.0
logistics_cost,실적,10,주차,W40,0.0
logistics_cost,실적,10,주차,W41,0.0
logistics_cost,실적,10,주차,W42,0.0
logistics_cost,실적,10,주차,W43,0.0
logistics_cost,실적,10,주차,W44,0.0
logistics_cost,실적,11,주차,W45,0.0
logistics_cost,실적,11,주차,W46,0.0
logistics_cost,실적,11,주차,W47,0.0
logistics_cost,실적,11,주차,W48,0.0
logistics_cost,실적,11,주차,W49,0.0
logistics_cost,실적,12,주차,W49,0.0
logistics_cost,실적,12,주차,W50,0.0
logistics_cost,실적,12,주차,W51,0.0
logistics_cost,실적,12,주차,W52,0.0
logistics_cost,실적,12,주차,W53,0.0
investment,목표,1,월계,,23.094023640000003
investment,목표,1,주차,W1,23.094023640000003
investment,목표,1,주차,W2,23.094023640000003
investment,목표,1,주차,W3,23.094023640000003
investment,목표,1,주차,W4,23.094023640000003
investment,목표,1,주차,W5,23.094023640000003
investment,목표,2,월계,,14.556503290000002
investment,목표,2,주차,W6,14.556503290000002
investment,목표,2,주차,W7,14.556503290000002
investment,목표,2,주차,W8,14.556503290000002
investment,목표,2,주차,W9,14.556503290000002
investment,목표,3,월계,,10.823066999999995
investment,목표,3,주차,W10,10.823066999999995
investment,목표,3,주차,W11,10.823066999999995
investment,목표,3,주차,W12,10.823066999999995
investment,목표,3,주차,W13,10.823066999999995
investment,목표,3,주차,W14,10.823066999999995
investment,목표,4,월계,,5.575310569999999
investment,목표,4,주차,W14,5.575310569999999
investment,목표,4,주차,W15,5.575310569999999
investment,목표,4,주차,W16,5.575310569999999
investment,목표,4,주차,W17,5.575310569999999
investment,목표,4,주차,W18,5.575310569999999
investment,목표,5,월계,,0.0
investment,목표,5,주차,W18,0.0
investment,목표,5,주차,W19,0.0
investment,목표,5,주차,W20,0.0
investment,목표,5,주차,W21,0.0
investment,목표,5,주차,W22,0.0
investment,목표,5,주차,W23,0.0
investment,목표,6,월계,,0.0
investment,목표,6,주차,W23,0.0
investment,목표,6,주차,W24,0.0
investment,목표,6,주차,W25,0.0
investment,목표,6,주차,W26,0.0
investment,목표,6,주차,W27,0.0
investment,목표,7,월계,,0.0
investment,목표,7,주차,W27,0.0
investment,목표,7,주차,W28,0.0
investment,목표,7,주차,W29,0.0
investment,목표,7,주차,W30,0.0
investment,목표,7,주차,W31,0.0
investment,목표,8,월계,,0.0
investment,목표,8,주차,W31,0.0
investment,목표,8,주차,W32,0.0
investment,목표,8,주차,W33,0.0
investment,목표,8,주차,W34,0.0
investment,목표,8,주차,W35,0.0
investment,목표,8,주차,W36,0.0
investment,목표,9,월계,,0.0
investment,목표,9,주차,W36,0.0
investment,목표,9,주차,W37,0.0
investment,목표,9,주차,W38,0.0
investment,목표,9,주차,W39,0.0
investment,목표,9,주차,W40,0.0
investment,목표,10,월계,,0.0
investment,목표,10,주차,W40,0.0
investment,목표,10,주차,W41,0.0
investment,목표,10,주차,W42,0.0
investment,목표,10,주차,W43,0.0
investment,목표,10,주차,W44,0.0
investment,목표,11,월계,,0.0
investment,목표,11,주차,W45,0.0
investment,목표,11,주차,W46,0.0
investment,목표,11,주차,W47,0.0
investment,목표,11,주차,W48,0.0
investment,목표,11,주차,W49,0.0
investment,목표,12,월계,,0.0
investment,목표,12,주차,W49,0.0
investment,목표,12,주차,W50,0.0
investment,목표,12,주차,W51,0.0
investment,목표,12,주차,W52,0.0
investment,목표,12,주차,W53,0.0
investment,실적,1,월계,,54.0639716
investment,실적,1,주차,W1,-24.68899962999999
investment,실적,1,주차,W2,-24.68899962999999
investment,실적,1,주차,W3,11.613290599999992
investment,실적,1,주차,W4,11.613290599999992
investment,실적,1,주차,W5,-24.68899962999999
investment,실적,2,월계,,42.95778868000001
investment,실적,2,주차,W6,1.1950883
investment,실적,2,주차,W7,1.1950883
investment,실적,2,주차,W8,44.9567333
investment,실적,2,주차,W9,45.823893680000005
investment,실적,3,월계,,46.72191460000001
investment,실적,3,주차,W10,4.860178369999993
investment,실적,3,주차,W11,24.238496370000004
investment,실적,3,주차,W12,54.020403600000016
investment,실적,3,주차,W13,54.020403600000016
investment,실적,3,주차,W14,52.51562037
investment,실적,4,월계,,2.8174715999999975
investment,실적,4,주차,W14,4.7526675900000015
investment,실적,4,주차,W15,-14.839107629999994
investment,실적,4,주차,W16,56.50319460000001
investment,실적,4,주차,W17,56.50319460000001
investment,실적,4,주차,W18,8.611177370000007
investment,실적,5,주차,W18,0.0
investment,실적,5,주차,W19,0.0
investment,실적,5,주차,W20,0.0
investment,실적,5,주차,W21,0.0
investment,실적,5,주차,W22,0.0
investment,실적,5,주차,W23,0.0
investment,실적,6,주차,W23,0.0
investment,실적,6,주차,W24,0.0
investment,실적,6,주차,W25,0.0
investment,실적,6,주차,W26,0.0
investment,실적,6,주차,W27,0.0
investment,실적,7,주차,W27,0.0
investment,실적,7,주차,W28,0.0
investment,실적,7,주차,W29,0.0
investment,실적,7,주차,W30,0.0
investment,실적,7,주차,W31,0.0
investment,실적,8,주차,W31,0.0
investment,실적,8,주차,W32,0.0
investment,실적,8,주차,W33,0.0
investment,실적,8,주차,W34,0.0
investment,실적,8,주차,W35,0.0
investment,실적,8,주차,W36,0.0
investment,실적,9,주차,W36,0.0
investment,실적,9,주차,W37,0.0
investment,실적,9,주차,W38,0.0
investment,실적,9,주차,W39,0.0
investment,실적,9,주차,W40,0.0
investment,실적,10,주차,W40,0.0
investment,실적,10,주차,W41,0.0
investment,실적,10,주차,W42,0.0
investment,실적,10,주차,W43,0.0
investment,실적,10,주차,W44,0.0
investment,실적,11,주차,W45,0.0
investment,실적,11,주차,W46,0.0
investment,실적,11,주차,W47,0.0
investment,실적,11,주차,W48,0.0
investment,실적,11,주차,W49,0.0
investment,실적,12,주차,W49,0.0
investment,실적,12,주차,W50,0.0
investment,실적,12,주차,W51,0.0
investment,실적,12,주차,W52,0.0
investment,실적,12,주차,W53,0.0
sales_region1,목표,1,월계,,218.71932900000002
sales_region1,목표,1,주차,W1,218.71932900000002
sales_region1,목표,1,주차,W2,218.71932900000002
sales_region1,목표,1,주차,W3,218.71932900000002
sales_region1,목표,1,주차,W4,218.71932900000002
sales_region1,목표,1,주차,W5,218.71932900000002
sales_region1,목표,2,월계,,121.300216
sales_region1,목표,2,주차,W6,121.300216
sales_region1,목표,2,주차,W7,121.300216
sales_region1,목표,2,주차,W8,121.300216
sales_region1,목표,2,주차,W9,121.300216
sales_region1,목표,3,월계,,12.630527999999998
sales_region1,목표,3,주차,W10,12.630527999999998
sales_region1,목표,3,주차,W11,12.630527999999998
sales_region1,목표,3,주차,W12,12.630527999999998
sales_region1,목표,3,주차,W13,12.630527999999998
sales_region1,목표,3,주차,W14,12.630527999999998
sales_region1,목표,4,월계,,470.428204
sales_region1,목표,4,주차,W14,470.428204
sales_region1,목표,4,주차,W15,470.428204
sales_region1,목표,4,주차,W16,470.428204
sales_region1,목표,4,주차,W17,470.428204
sales_region1,목표,4,주차,W18,470.428204
sales_region1,목표,5,월계,,0.0
sales_region1,목표,5,주차,W18,0.0
sales_region1,목표,5,주차,W19,0.0
sales_region1,목표,5,주차,W20,0.0
sales_region1,목표,5,주차,W21,0.0
sales_region1,목표,5,주차,W22,0.0
sales_region1,목표,5,주차,W23,0.0
sales_region1,목표,6,월계,,0.0
sales_region1,목표,6,주차,W23,0.0
sales_region1,목표,6,주차,W24,0.0
sales_region1,목표,6,주차,W25,0.0
sales_region1,목표,6,주차,W26,0.0
sales_region1,목표,6,주차,W27,0.0
sales_region1,목표,7,월계,,0.0
sales_region1,목표,7,주차,W27,0.0
sales_region1,목표,7,주차,W28,0.0
sales_region1,목표,7,주차,W29,0.0
sales_region1,목표,7,주차,W30,0.0
sales_region1,목표,7,주차,W31,0.0
sales_region1,목표,8,월계,,0.0
sales_region1,목표,8,주차,W31,0.0
sales_region1,목표,8,주차,W32,0.0
sales_region1,목표,8,주차,W33,0.0
sales_region1,목표,8,주차,W34,0.0
sales_region1,목표,8,주차,W35,0.0
sales_region1,목표,8,주차,W36,0.0
sales_region1,목표,9,월계,,0.0
sales_region1,목표,9,주차,W36,0.0
sales_region1,목표,9,주차,W37,0.0
sales_region1,목표,9,주차,W38,0.0
sales_region1,목표,9,주차,W39,0.0
sales_region1,목표,9,주차,W40,0.0
sales_region1,목표,10,월계,,0.0
sales_region1,목표,10,주차,W40,0.0
sales_region1,목표,10,주차,W41,0.0
sales_region1,목표,10,주차,W42,0.0
sales_region1,목표,10,주차,W43,0.0
sales_region1,목표,10,주차,W44,0.0
sales_region1,목표,11,월계,,0.0
sales_region1,목표,11,주차,W45,0.0
sales_region1,목표,11,주차,W46,0.0
sales_region1,목표,11,주차,W47,0.0
sales_region1,목표,11,주차,W48,0.0
sales_region1,목표,11,주차,W49,0.0
sales_region1,목표,12,월계,,0.0
sales_region1,목표,12,주차,W49,0.0
sales_region1,목표,12,주차,W50,0.0
sales_region1,목표,12,주차,W51,0.0
sales_region1,목표,12,주차,W52,0.0
sales_region1,목표,12,주차,W53,0.0
sales_region1,실적,1,월계,,-315.82577499999996
sales_region1,실적,1,주차,W1,-236.165073
sales_region1,실적,1,주차,W2,-236.165073
sales_region1,실적,1,주차,W3,-236.165073
sales_region1,실적,1,주차,W4,-236.165073
sales_region1,실적,1,주차,W5,29.985730000000018
sales_region1,실적,2,월계,,-166.11548200000001
sales_region1,실적,2,주차,W6,4.038287000000004
sales_region1,실적,2,주차,W7,114.46284800000001
sales_region1,실적,2,주차,W8,4.038287000000004
sales_region1,실적,2,주차,W9,87.89501981
sales_region1,실적,3,월계,,-344.22922400000004
sales_region1,실적,3,주차,W10,-15.343686999999989
sales_region1,실적,3,주차,W11,-196.270036
sales_region1,실적,3,주차,W12,-196.665852
sales_region1,실적,3,주차,W13,-174.272827
sales_region1,실적,3,주차,W14,-174.272827
sales_region1,실적,4,월계,,-262.93492299999997
sales_region1,실적,4,주차,W14,-131.32808699999998
sales_region1,실적,4,주차,W15,-6.003585999999984
sales_region1,실적,4,주차,W16,-6.003585999999984
sales_region1,실적,4,주차,W17,-6.003585999999984
sales_region1,실적,4,주차,W18,-6.003585999999984
sales_region1,실적,5,주차,W18,0.0
sales_region1,실적,5,주차,W19,0.0
sales_region1,실적,5,주차,W20,0.0
sales_region1,실적,5,주차,W21,0.0
sales_region1,실적,5,주차,W22,0.0
